,Follower,Followee,Weight
755,7091,6750,1
756,6678,6751,1
757,4312,6782,1
758,3772,6800,1
759,1848,6802,1
760,1851,6819,1
761,1851,6852,1
762,84649,6865,1
763,7376,6872,1
764,7374,6884,1
765,6651,6891,1
766,5353,6924,1
767,2255,6929,1
768,7374,6939,1
769,2323,6944,1
770,13352,6954,1
771,1851,6995,1
772,84649,7015,1
773,5599,7018,1
774,2323,7032,1
775,2323,7041,1
776,6750,7091,1
777,6128,7104,1
778,6128,7158,1
779,7352,7193,1
780,48,7319,1
781,7193,7352,1
782,7193,7370,1
783,3915,7374,1
784,5419,7376,1
785,2255,7391,1
786,7193,7394,1
787,7193,7398,1
788,5801,7399,1
789,6567,7408,1
790,7193,7430,1
791,8128,7513,1
792,5861,7610,1
793,2619,7699,1
794,331,7742,1
795,6718,7786,1
796,12997,7787,1
797,5861,7800,1
798,13352,7802,1
799,4227,7847,1
800,5861,7882,1
801,4796,7915,1
802,1135,7960,1
803,5599,7970,1
804,1878,8128,1
805,84649,8165,1
806,5861,8268,1
807,2472,8479,1
808,10062,8672,1
809,4150,8749,1
810,5861,8779,1
811,8672,8784,1
812,2363,9210,1
813,4696,9353,1
814,8672,9370,1
815,8672,9397,1
816,5861,9576,1
817,4170,9666,1
818,4227,9859,1
819,8672,10062,1
820,1619,10147,1
821,10147,10232,1
822,10147,10333,1
823,2087,10550,1
824,6651,10765,1
825,10147,10858,1
826,10147,10944,1
827,6651,11147,1
828,48,11579,1
829,6514,12386,1
830,1893,12444,1
831,3157,12746,1
832,6284,12776,1
833,7787,12997,1
834,5136,13352,1
835,2286,13394,1
836,3843,13815,1
837,6651,14027,1
838,6651,14149,1
839,84649,14219,1
840,6651,14286,1
841,6651,14293,1
842,6651,14599,1
843,1851,14610,1
844,6651,15217,1
845,15573,15507,1
846,15793,15573,1
847,15573,15603,1
848,15573,15619,1
849,15573,15747,1
850,15573,15793,1
851,6567,16062,1
852,15573,16091,1
853,2775,16185,1
854,15573,16602,1
855,15573,16697,1
856,15573,17185,1
857,4331,18630,1
858,4331,18744,1
859,4331,18759,1
860,48,30779,1
861,48,30916,1
862,48,31035,1
863,48,31121,1
864,8165,84649,1
865,2491,48,1
866,84649,331,1
867,2726,344,1
868,2511,365,1
869,652,403,1
870,1351,475,1
871,652,498,1
872,2266,508,1
873,4796,545,1
874,1650,554,1
875,1650,573,1
876,84649,611,1
877,84649,612,1
878,498,652,1
879,769,694,1
880,2415,724,1
881,2574,757,1
882,2574,769,1
883,84649,830,1
884,2978,889,1
885,2096,972,1
886,84649,1135,1
887,4312,1175,1
888,4244,1187,1
889,475,1351,1
890,2952,1407,1
891,2623,1462,1
892,2957,1547,1
893,2024,1570,1
894,2726,1608,1
895,2562,1619,1
896,3045,1635,1
897,6609,1637,1
898,2511,1647,1
899,12444,1650,1
900,1795,1652,1
901,1795,1654,1
902,1795,1667,1
903,1795,1670,1
904,1795,1672,1
905,1650,1675,1
906,6514,1677,1
907,1670,1681,1
908,1670,1701,1
909,2246,1731,1
910,2330,1752,1
911,84649,1769,1
912,1650,1782,1
913,1791,1786,1
914,1670,1787,1
915,1874,1791,1
916,1670,1795,1
917,6668,1802,1
918,1882,1806,1
919,1874,1810,1
920,1968,1848,1
921,1932,1851,1
922,1862,1859,1
923,1882,1861,1
924,1859,1862,1
925,1887,1868,1
926,1791,1874,1
927,1916,1878,1
928,1861,1882,1
929,2061,1883,1
930,1861,1884,1
931,2726,1885,1
932,6819,1887,1
933,3834,1889,1
934,2366,1893,1
935,1932,1895,1
936,1859,1896,1
937,1918,1902,1
938,1878,1916,1
939,1932,1918,1
940,573,1923,1
941,2548,1924,1
942,1988,1925,1
943,1988,1931,1
944,1887,1932,1
945,2277,1949,1
946,6891,1966,1
947,6802,1968,1
948,2118,1974,1
949,2806,1975,1
950,1988,1977,1
951,6929,1980,1
952,2109,1981,1
953,1988,1983,1
954,1983,1988,1
955,2109,1990,1
956,2034,1991,1
957,2034,1992,1
958,2109,1995,1
959,2034,1996,1
960,2109,1997,1
961,2726,1998,1
